Post Title,Time Posted,Post Link,Image URL,Description,Classification,Quotes 1,Quotes 2,Quotes 3,Quotes 4,Quotes 5,Quotes 6,Quotes 7,Quotes 8,Quotes 9,Quotes 10,Quotes 11,Quotes 12,Quotes 13
VERA FILES FACT CHECK: Posers of ‘Power Mac Center’ post FAKE ad for smartwatch,2023-10-18T03:58:04+00:00,https://verafiles.org/articles/vera-files-fact-check-posers-of-power-mac-center-post-fake-ad-for-smartwatch-,https://verafiles.org/wp-content/uploads/2023/10/101623-FAKE-Power-Mac-Scam_SHORTIE_TAG-DRAFT.jpg,Facebook pages posing as the Power Mac Center are using the same modus operandi of other scammers to sell a smartwatch.,FAKE,"“Kahapon (Yesterday), Power Mac Center: Officially launched Smartwatch GT20 Ultra imported from the US at a super special price in the Philippines, only PHP 1,099/1 units (PHP 2,199/2 units) on the occasion of opening the 10th branch in Greenbelt Mall. Dahil masikip ang event, nagdulot ng congestion at pagpupumilit, maraming customer ang hindi nakabili at nahimatay pa dahil sa kakulangan ng oxygen (Because the event was overcrowded, causing congestion and struggle, many customers were unable to buy and even passed out due to lack of oxygen).”",,,,,,,,,,,,
VERA FILES FACT CHECK: FAKE report on ‘cryptocurrency platform’ circulates anew,2023-10-12T03:53:35+00:00,https://verafiles.org/articles/vera-files-fact-check-fake-report-on-cryptocurrency-platform-circulates-anew,https://verafiles.org/wp-content/uploads/2023/10/100623-FAKE-Dominguez-crypto_SHORTIE_TAG-REV2.jpg,Yet another website imitating The Manila Times posted a story endorsing a cryptocurrency trading platform supposedly endorsed by ex-Finance secretary Carlos Dominguez III. This is a rehashed hoax.,FAKE,“SPECIAL REPORT: Carlos Dominguez’s Latest Investment Has Experts in Awe And Big Banks Terrified.” ,,,,,,,,,,,,
VERA FILES FACT CHECK: Sara Duterte quote on spending ‘P20M confidential funds a day’ is FAKE,2023-10-07T00:55:50+00:00,https://verafiles.org/articles/vera-files-fact-check-sara-duterte-quote-on-spending-p20m-confidential-funds-a-day-is-fake,https://verafiles.org/wp-content/uploads/2023/10/100323-FAKE-Another-Sara-quote-card_SHORTIE_TAG-DRAFT.jpg,A fake quote card of VP Sara Duterte supposedly saying she spent P20 million in confidential funds a day as Davao City mayor is circulating on Facebook.,FAKE,"“I don’t know why there is a big issue on the 125 million pesos of confidential fund, which my office disbursed in 19 days. In Davao City, where I held office as the Chief Executive for 9 years, I spend 20 million a day and nobody dared to question me. Not the then President and not even the COA. Now that I am the Vice-President, you tell me that I can not spend my confidential fund in a timeframe which I think is feasible. What am I for as a Vice President, if you restrain me?”",,,,,,,,,,,,
VERA FILES FACT CHECK: NO new PH fighter jets from Sweden,2023-10-05T05:08:03+00:00,https://verafiles.org/articles/vera-files-fact-check-no-new-ph-fighter-jets-from-sweden,https://verafiles.org/wp-content/uploads/2023/10/100223-FAKE-PH-fighter-jets_SHORTIE_TAG-DRAFT.jpg,A YouTube video used altered clips from an air show to falsely claim that the Philippines has tested its fighter aircraft supposedly bought from Sweden. This is not true.,FAKE,“PILIPINAS FIGHTER JET BUMANAT NA (PHILIPPINES FIGHTER JET HAS GONE ALL OUT!)”,,,,,,,,,,,,
VERA FILES FACT CHECK: SMC’s Ramon Ang did NOT say ‘shun Starbucks’ ,2023-10-05T03:58:33+00:00,https://verafiles.org/articles/vera-files-fact-check-smcs-ramon-ang-did-not-say-shun-starbucks,https://verafiles.org/wp-content/uploads/2023/10/100323-FAKE-Ramon-Ang-quote-card_SHORTIE-FIL.jpg,A fake quote card claimed that San Miguel Corp. Ramon Ang told people to avoid Starbucks to save money.,FAKE,"“Alam niyo best strategy to save money? You go to sleep! libre pa! Wag gumala. Wag mag travel every month. Wag na mag starbucks,” read the concocted quote card attributed to Ang, who is also SMC chief executive officer.(You know what’s the best strategy to save money? You go to sleep! It’s free! Don’t wander. Don’t travel every month. Don’t go to Starbucks.) ",,,,,,,,,,,,
VERA FILES FACT: Sara Duterte quote card on confidential funds spending is FAKE,2023-10-04T06:42:05+00:00,https://verafiles.org/articles/vera-files-fact-sara-duterte-quote-card-on-confidential-funds-spending-is-fake,https://verafiles.org/wp-content/uploads/2023/10/092923-FAKE-Sara-quote-card_SHORTIE_TAG-REV.jpg,A quote card of VP Sara Duterte that shows her saying she can spend her offices’ confidential funds in an hour or a minute if she wants is fake.,FAKE,“So what if I spent my 125 million pesos confidential funds in 19 days or 11 days as what the COA said? I can spend it in an hour or in a minute if I want to. That money is intended for my office and I can spend it the way I want it to be spent. By its nature it’s CONFIDENTIAL FUNDS and you have no business scrutinizing what is confidential.” ,,,,,,,,,,,,
"VERA FILES FACT CHECK: NO ‘destruction’ of Chinese coast guard ships, photos are FAKE",2023-09-29T05:07:19+00:00,https://verafiles.org/articles/vera-files-fact-check-no-destruction-of-chinese-coast-guard-ships-photos-are-fake,https://verafiles.org/wp-content/uploads/2023/09/092223-FALSE-Chinese-ship-wasak-SHORTIE-FIL-REV1.jpg,A video showed three edited photos to falsely claim that a Chinese ship was recently destroyed by an unidentified weapon.,FAKE,“GRABE ITO! Barko Ng China Coast Guard WASAK NANG TAMAAN Ng Hindi Pa Natutukoy Na SANDATA (This is bad! Chinese Coast Guard ship destroyed by an unidentified weapon)!” ,,,,,,,,,,,,
VERA FILES FACT CHECK: PCG did NOT fire water cannon vs China,2023-09-22T09:35:31+00:00,https://verafiles.org/articles/vera-files-fact-check-pcg-did-not-fire-water-cannon-vs-china,https://verafiles.org/wp-content/uploads/2023/09/092023-FALSE-PH-CH-water-cannon-fight_SHORTIE_TAG-REV.jpg,A YouTube channel concocted a fake story that the Philippine Coast Guard engaged in a water cannon fight with Chinese militia near Ayungin Shoal.,FAKE,“PCG naubos ang pasensya! Agresibong Chinese militia binomba umano ng water cannon sa Ayungin (PCG lost its patience! Aggressive Chinese militia bombed with water cannons in Ayungin).”,,,,,,,,,,,,
VERA FILES FACT CHECK: Circulating FB reel of tornado in a ‘coastal town’ is FAKE,2023-09-14T03:45:56+00:00,https://verafiles.org/articles/vera-files-fact-check-circulating-fb-reel-of-tornado-in-a-coastal-town-is-fake,https://verafiles.org/wp-content/uploads/2023/09/090823-FAKE-Coastal-town-tornado_SHORTIE_TAG-DRAFT.jpg,A video of a massive tornado described as having ravaged a coastal town is making the rounds on Facebook. This is a manipulated footage taken from an old clip of Hurricane Matthew in the United States in 2016.,FAKE,"“Full recap of our chase during Hurricane Matthew from Melbourne, FL and Jacksonville Beach, FL on October 6-7, 2016. Includes footage of very strong wind, storm surge, and blowing debris.” ",,,,,,,,,,,,
VERA FILES FACT CHECK: Actor Gardo Versoza is NOT promoting barley powder,2023-09-12T10:03:20+00:00,https://verafiles.org/articles/vera-files-fact-check-actor-gardo-versoza-is-not-promoting-barley-powder,https://verafiles.org/wp-content/uploads/2023/09/090523-FAKE-Gardo-Versoza-barley_SHORTIE-FIL-REV1.jpg,Seven Facebook pages impersonating actor Gardo Versoza used altered photos of his hospitalization this year to make it look like he is promoting Navitas Barley Grass Powder. ,FAKE,"“Pinayuhan ako ng doktor na uminom ng Japanese barley grass powder araw-araw nang tuluy-tuloy sa loob ng 2 buwan, bubuti ang aking sakit (The doctor advised me to drink Japanese barley grass powder everyday for two months, my sickness will get better).” ",“Wala po akong ineendorsong ganitong produkto… Wala rin po silang pahintulot na gamitin ang anumang larawan ko lalo pa yung nung nahospital at inatake ako (I don’t endorse such products… They also don’t have permission to use any of my photos especially those of when I had a heart attack and was hospitalized).” ,,,,,,,,,,,
